Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Achieved Occupancy,L2 Throughput (L1 Reads)(bytes/sec),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),Global Store Throughput(bytes/sec),Device Memory Write Throughput(bytes/sec),Global Load Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Texture Cache Throughput(bytes/sec),Control-Flow Instructions,Global Store Transactions,Bit-Convert Instructions,System Memory Read Transactions,Shared Store Transactions,Misc Instructions,Global Load Transactions,Load/Store Instructions,Local Store Transactions,FP Instructions(Single),Shared Load Transactions,Integer Instructions,Local Load Transactions,FP Instructions(Double),Issue Slot Utilization(%),L2 Throughput (L1 Writes)(bytes/sec),Issued Control-Flow Instructions,L2 Transactions (Atomic requests),System Memory Write Throughput(bytes/sec),L2 Write Transactions (L1 write requests),System Memory Read Throughput(bytes/sec),L2 Transactions (Texture Reads),L2 Throughput (Writes)(bytes/sec),Atomic Throughput(bytes/sec),L2 Throughput (Reads)(bytes/sec),L2 Read Transactions (L1 read requests),Shared Memory Store Throughput(bytes/sec),Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,System Memory Write Transactions,Issued Load/Store Instructions,Floating Point Operations(Single Precision Add),Floating Point Operations(Single Precision FMA),Floating Point Operation(Single Precision Mul),Floating Point Operations(Double Precision Add),Floating Point Operations(Double Precison FMA),Floating Point Operations(Double Precision Mul),L1/Shared Memory Utilization,Floating Point Operations(Single Precision Special),Texture Cache Utilization,L2 Cache Utilization,System Memory Utilization,Device Memory Utilization,Load/Store Function Unit Utilization,Atomic Transactions,Arithmetic Function Unit Utilization,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,Inter-Thread Instructions,Instructions Executed,Issue Slots,L2 Throughput (Atomic requests)(bytes/sec),Global Memory Load Efficiency(%),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Instruction Replay Overhead,Shared Memory Replay Overhead,Global Memory Replay Overhead,Local Memory Cache Replay Overhead,Global Memory Cache Replay Overhead,Issued IPC,Instructions per warp,Executed Control-Flow Instructions,FLOP Efficiency(Peak Single)(%),FLOP Efficiency(Peak Double)(%),Executed Load/Store Instructions,Floating Point Operations(Single Precision),Floating Point Operations(Double Precision),Atomic Replay Overhead,Branch Efficiency(%),Executed IPC,Instructions Issued
"conwayThread(char*, char*, int, int)",99752038,213883,64,1,1,1024,1,1,22,0,0,0.973,,,,,,,,,5077510,,3145728,,,26383491,,3932160,,131072,,12814991,,0,51.805,,333047,,,,,,,,,,,,,,,,,,,,135109,0,0,0,0,0,0,,131072,,,,,,,,,,0,1730130,1711439,,60,0,25.296,0.057,0,0.002,0.037,0,2.214,844.79,575470,0,0,131966,0,0,0,83.559,2.095,1828221
"conwayThread(char*, char*, int, int)",100066430,213403,64,1,1,1024,1,1,22,0,0,0.972,,,,,,,,,5008107,,3145728,,,26311425,,3932160,,131072,,12676609,,0,51.748,,336008,,,,,,,,,,,,,,,,,,,,135021,0,0,0,0,0,0,,131072,,,,,,,,,,0,1733928,1713812,,60,0,25.387,0.056,0,0.002,0.037,0,2.212,846.645,581396,0,0,131955,0,0,0,83.148,2.094,1831499
"conwayThread(char*, char*, int, int)",100373079,213211,64,1,1,1024,1,1,22,0,0,0.972,,,,,,,,,5001728,,3145728,,,26305397,,3932160,,131072,,12668987,,0,51.535,,335161,,,,,,,,,,,,,,,,,,,,135266,0,0,0,0,0,0,,131072,,,,,,,,,,0,1732616,1712705,,60,0,25.527,0.056,0,0.002,0.037,0,2.202,846.004,579706,0,0,132112,0,0,0,83.274,2.085,1829600
"conwayThread(char*, char*, int, int)",100671504,212411,64,1,1,1024,1,1,22,0,0,0.972,,,,,,,,,5000474,,3145728,,,26304019,,3932160,,131072,,12667943,,0,51.417,,334588,,,,,,,,,,,,,,,,,,,,134819,0,0,0,0,0,0,,131072,,,,,,,,,,0,1731798,1712635,,60,0,25.565,0.056,0,0.002,0.037,0,2.197,845.604,578572,0,0,131951,0,0,0,83.355,2.08,1829493
"conwayThread(char*, char*, int, int)",100968904,212539,64,1,1,1024,1,1,22,0,0,0.973,,,,,,,,,4995492,,3145728,,,26298971,,3932160,,131072,,12658459,,0,51.534,,334747,,,,,,,,,,,,,,,,,,,,135168,0,0,0,0,0,0,,131072,,,,,,,,,,0,1731906,1712128,,60,0,25.651,0.056,0,0.002,0.037,0,2.202,845.657,578878,0,0,131733,0,0,0,83.336,2.085,1828880
"conwayThread(char*, char*, int, int)",101266241,212411,64,1,1,1024,1,1,22,0,0,0.972,,,,,,,,,4995303,,3145728,,,26298771,,3932160,,131072,,12658939,,0,51.557,,334303,,,,,,,,,,,,,,,,,,,,135085,0,0,0,0,0,0,,131072,,,,,,,,,,0,1731109,1711578,,60,0,25.803,0.056,0,0.002,0.037,0,2.203,845.268,577990,0,0,131928,0,0,0,83.414,2.086,1828068
"conwayThread(char*, char*, int, int)",101563418,213243,64,1,1,1024,1,1,22,0,0,0.972,,,,,,,,,4991685,,3145728,,,26295297,,3932160,,131072,,12652207,,0,51.788,,334217,,,,,,,,,,,,,,,,,,,,134950,0,0,0,0,0,0,,131072,,,,,,,,,,0,1730800,1711958,,60,0,25.947,0.057,0,0.002,0.037,0,2.213,845.117,577838,0,0,131719,0,0,0,83.429,2.094,1828900
"conwayThread(char*, char*, int, int)",101860627,212219,64,1,1,1024,1,1,22,0,0,0.972,,,,,,,,,4989266,,3145728,,,26292804,,3932160,,131072,,12648232,,0,51.659,,333649,,,,,,,,,,,,,,,,,,,,134778,0,0,0,0,0,0,,131072,,,,,,,,,,0,1729794,1711147,,60,0,26.132,0.057,0,0.002,0.037,0,2.207,844.626,576726,0,0,131526,0,0,0,83.517,2.089,1827726
"conwayThread(char*, char*, int, int)",102156556,212763,64,1,1,1024,1,1,22,0,0,0.972,,,,,,,,,4987316,,3145728,,,26290956,,3932160,,131072,,12645096,,0,51.72,,333479,,,,,,,,,,,,,,,,,,,,134954,0,0,0,0,0,0,,131072,,,,,,,,,,0,1729403,1710621,,60,0,26.263,0.056,0,0.002,0.037,0,2.209,844.435,576390,0,0,131542,0,0,0,83.546,2.092,1826910
"conwayThread(char*, char*, int, int)",102455941,212187,64,1,1,1024,1,1,22,0,0,0.971,,,,,,,,,4986052,,3145728,,,26289637,,3932160,,131072,,12643027,,0,51.454,,333454,,,,,,,,,,,,,,,,,,,,135013,0,0,0,0,0,0,,131072,,,,,,,,,,0,1729403,1710384,,60,0,26.233,0.056,0,0.002,0.037,0,2.198,844.435,576348,0,0,131674,0,0,0,83.547,2.081,1826537
