==11818== NVPROF is profiling process 11818, command: ./kernel
==11818== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11818== Profiling application: ./kernel
==11818== Profiling result:
==11818== Metric result:
Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "GeForce GT 620 (0)"
	Kernel: conwayThread(char*, char*, int, int)
        100                  l1_cache_global_hit_rate                        L1 Global Hit Rate      96.43%      96.43%      96.43%
        100                         branch_efficiency                         Branch Efficiency      75.15%      80.14%      77.85%
        100                   l1_cache_local_hit_rate                         L1 Local Hit Rate       0.00%       0.00%       0.00%
        100                             sm_efficiency                   Multiprocessor Activity      92.93%      93.45%      93.28%
        100                        achieved_occupancy                        Achieved Occupancy    0.605273    0.619684    0.611151
        100                  gld_requested_throughput          Requested Global Load Throughput  4.6798GB/s  4.8271GB/s  4.7610GB/s
        100                  gst_requested_throughput         Requested Global Store Throughput  519.98MB/s  536.34MB/s  529.00MB/s
        100                                       ipc                              Executed IPC    1.810421    1.864710    1.844457
        100                    sm_efficiency_instance                   Multiprocessor Activity      92.93%      93.45%      93.28%
        100                              ipc_instance                              Executed IPC    1.810421    1.864710    1.844457
        100                             inst_per_warp                     Instructions per warp  147.136719  149.907227  148.352129
        100                          gld_transactions                  Global Load Transactions       21504       21504       21504
        100                          gst_transactions                 Global Store Transactions        5790        8106        6660
        100                   local_load_transactions                   Local Load Transactions           0           0           0
        100                  local_store_transactions                  Local Store Transactions           0           0           0
        100                  shared_load_transactions                  Shared Load Transactions           0           0           0
        100                 shared_store_transactions                 Shared Store Transactions           0           0           0
        100              gld_transactions_per_request      Global Load Transactions Per Request    1.166667    1.166667    1.166667
        100              gst_transactions_per_request     Global Store Transactions Per Request    0.989374    1.009584    0.999909
        100       local_load_transactions_per_request  Local Memory Load Transactions Per Reque    0.000000    0.000000    0.000000
        100      local_store_transactions_per_request  Local Memory Store Transactions Per Requ    0.000000    0.000000    0.000000
        100      shared_load_transactions_per_request  Shared Memory Load Transactions Per Requ    0.000000    0.000000    0.000000
        100     shared_store_transactions_per_request  Shared Memory Store Transactions Per Req    0.000000    0.000000    0.000000
        100                     local_load_throughput              Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                    local_store_throughput             Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                    shared_load_throughput             Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                   shared_store_throughput            Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                         shared_efficiency                  Shared Memory Efficiency       0.00%       0.00%       0.00%
        100                             flop_count_sp  Floating Point Operations(Single Precisi           0           0           0
        100                         flop_count_sp_add  Floating Point Operations(Single Precisi           0           0           0
        100                         flop_count_sp_mul  Floating Point Operation(Single Precisio           0           0           0
